userID	itemID	tagID	timestamp
1	1	3	2	2	1
1	2	2	2	3	1
1	3	3	2	1	1
1	4	3	5	2	1
1	5	3	3	2	1
1	6	11	4	1	1
1	7	3	1	1	1
1	8	3	4	1	1
1	9	3	4	1	1
1	10	3	1	3	1
10	187	10	5	2	1
10	174	10	4	1	1
10	188	11	5	1	1
10	189	10	5	3	1
10	190	10	5	1	1
10	191	16	4	2	1
10	192	14	4	3	1
10	193	10	4	1	1
10	194	17	4	2	1
10	195	16	4	2	1
10	196	10	4	3	1
11	197	7	4	2	2
11	198	10	5	2	1
11	199	17	4	1	1
11	200	7	5	2	1
11	201	9	5	1	1
11	202	10	5	2	1
11	203	7	5	1	1
11	204	16	5	2	1
11	205	7	5	2	1
11	204	16	5	2	1
11	206	7	5	2	1
11	207	15	5	1	1
12	208	10	4	1	5
12	9	3	5	2	1
12	209	11	4	2	1
12	210	12	4	1	1
12	211	15	5	2	1
12	212	10	5	1	1
12	213	10	5	2	1
12	214	10	5	1	1
15	243	3	3	1	3
15	244	3	5	2	2
15	245	3	2	2	1
15	246	9	3	2	1
15	28	3	5	2	1
15	247	12	5	1	1
15	100	3	3	2	1
15	248	12	5	2	1
15	249	19	2	2	1
15	250	3	4	2	1
26	509	18	4	1	1
26	75	19	4	1	1
26	224	19	4	3	1
26	510	19	5	1	1
26	511	19	4	2	1
26	512	18	4	1	1
26	513	19	4	1	1
26	514	19	4	1	1
26	515	8	5	2	1
26	516	19	4	1	1
26	517	8	4	1	1
34	373	10	4	1	1
34	704	10	5	3	1
34	705	10	5	3	1
34	706	10	1	1	1
34	707	10	5	1	1
34	708	10	4	1	1
34	705	10	4	1	1
34	709	10	4	1	1
34	710	10	3	3	1
34	711	10	5	3	1
34	704	10	2	1	1
34	712	10	4	2	1
56	1853	7	1	1	3
56	1854	7	4	2	1
56	1855	15	4	2	1
56	1856	7	4	2	1
56	1857	7	3	2	1
56	1858	7	2	2	1
56	1859	7	5	2	1
56	1860	7	4	3	1
56	1861	7	4	2	1
60	1952	11	5	1	1
60	1953	10	5	1	1
60	1954	12	5	1	1
60	1955	1	4	3	1
60	1956	1	3	1	1
60	534	1	5	1	1
60	1957	1	3	2	1
60	558	15	4	2	1
60	1958	15	4	1	1
60	1959	6	4	1	1
60	1960	1	5	1	1
92	3730	18	5	1	2
92	3451	18	4	1	2
92	3731	7	5	2	1
92	2314	11	4	3	1
92	3732	1	3	1	1
92	3733	7	4	1	1
92	3734	7	4	1	1
92	3735	7	4	2	1
92	3736	5	5	1	1
92	2541	3	3	2	1
92	3737	16	1	2	1
94	3752	9	5	2	10
94	3753	8	5	2	10
94	3754	21	5	2	10
94	3755	7	4	2	10
94	3756	8	5	2	9
94	3757	9	5	2	5
94	3758	15	5	2	1
94	3759	7	5	2	1
94	3760	9	5	2	1
94	1402	7	5	1	1
100	3891	8	5	1	11
100	3892	7	4	2	4
100	3893	15	5	2	4
100	3894	7	5	2	4
100	3895	15	5	2	3
100	3610	15	5	2	3
100	3896	9	5	2	2
100	3897	15	4	2	1
100	3898	15	4	2	1
100	3899	15	5	2	1
100	3900	15	5	2	1
103	3926	3	3	2	2
103	3927	5	4	1	2
