8	40306	0.01935483870967742	0.0064516129032258064	68	90	c:3	infC:1.0	[i61by#5, i59by#13, i68by#9]
57	9145	0.018518518518518517	0.009259259259259259	37	73	c:2	infC:1.0	[i184by#3, i156by#19]
57	29455	0.009900990099009901	0.0	37	65	c:1	infC:0.0	[i182by#8]
147	47658	0.0064516129032258064	0.0	75	81	c:1	infC:0.0	[i235by#11]
147	55826	0.007692307692307693	0.0	75	56	c:1	infC:0.0	[i262by#8]
242	6704	0.0072992700729927005	0.0072992700729927005	85	53	c:1	infC:1.0	[i410by#3]
259	11568	0.020689655172413793	0.013793103448275862	74	74	c:3	infC:2.0	[i589by#18, i564by#10, i535by#7]
302	8232	0.011494252873563218	0.005747126436781609	91	85	c:2	infC:1.0	[i603by#3, i605by#4]
319	22091	0.018018018018018018	0.018018018018018018	62	51	c:2	infC:2.0	[i741by#8, i781by#3]
372	65754	0.006622516556291391	0.0	76	76	c:1	infC:0.0	[i950by#3]
521	78592	0.010101010101010102	0.010101010101010102	66	34	c:1	infC:1.0	[i1216by#4]
788	1263	0.03636363636363636	0.01818181818181818	56	58	c:4	infC:2.0	[i1502by#4, i1529by#4, i1490by#3, i1493by#6]
788	1423	0.08080808080808081	0.050505050505050504	56	51	c:8	infC:5.0	[i1494by#7, i1483by#9, i1475by#3, i1511by#3, i1501by#5, i1464by#4, i1493by#6, i1481by#3]
788	17308	0.00819672131147541	0.00819672131147541	56	67	c:1	infC:1.0	[i1483by#9]
788	19812	0.02702702702702703	0.018018018018018018	56	58	c:3	infC:2.0	[i1554by#6, i1494by#7, i1483by#9]
788	30669	0.011111111111111112	0.0	56	35	c:1	infC:0.0	[i1480by#3]
788	49031	0.027777777777777776	0.018518518518518517	56	55	c:3	infC:2.0	[i1464by#4, i1553by#8, i1498by#7]
788	51379	0.011627906976744186	0.011627906976744186	56	31	c:1	infC:1.0	[i1493by#6]
788	51985	0.024096385542168676	0.0	56	29	c:2	infC:0.0	[i1534by#3, i1499by#5]
788	52177	0.008849557522123894	0.0	56	58	c:1	infC:0.0	[i1554by#6]
788	54005	0.00909090909090909	0.0	56	55	c:1	infC:0.0	[i1494by#7]
788	60597	0.019801980198019802	0.019801980198019802	56	47	c:2	infC:2.0	[i1483by#9, i1501by#5]
788	64432	0.015873015873015872	0.015873015873015872	56	72	c:2	infC:2.0	[i1483by#9, i1498by#7]
970	76601	0.007462686567164179	0.0	70	65	c:1	infC:0.0	[i1771by#4]
