8	40306	68	451081000	5
57	9145	184	4556000	0
242	6704	410	33525000	0
259	11568	589	2018711000	23
259	11568	564	1247999000	14
302	8232	603	687000	0
319	22091	741	2196796000	25
319	22091	781	4830000	0
521	78592	1216	114406000	1
788	1263	1490	28639000	0
788	1263	1493	77730000	0
788	1423	1483	43136000	0
788	1423	1475	179226000	2
788	1423	1501	80787000	0
788	1423	1464	52638000	0
788	1423	1481	23056000	0
788	17308	1483	50372000	0
788	19812	1554	77002000	0
788	19812	1483	49766000	0
788	49031	1553	3913725000	45
788	49031	1498	15114000	0
788	51379	1493	165719000	1
788	60597	1483	1101418000	12
788	60597	1501	1458000	0
788	64432	1483	981594000	11
788	64432	1498	347620000	4
1263	788	1502	1661954000	19
1263	788	1529	23449000	0
1263	12299	2487	57480000	0
1263	12299	2499	270137000	3
1263	12299	2480	2984000	0
1263	19812	2533	6626440000	76
1263	44166	2533	926732000	10
1263	44871	2506	85989000	0
1263	44871	2512	63164000	0
1263	44871	2547	49089000	0
1263	47252	2553	153386000	1
1263	51379	1493	87989000	1
1263	53624	2553	40097000	0
1263	53624	2547	9806000	0
1263	62346	2485	29550000	0
1296	22563	2627	2363592000	27
1352	102362	2908	8767632000	101
1423	788	1494	1477112000	17
1423	788	1511	7040000	0
1423	788	1493	4378000	0
1423	19812	1494	370814000	4
1423	19812	3025	40157000	0
1423	19812	1483	6630000	0
1423	53624	2989	21162000	0
1423	60597	1483	1058282000	12
1455	9307	3089	1762000	0
1455	9307	3075	267602000	3
1887	6888	3927	2039000	0
1887	6897	3926	1585487000	18
1952	72551	4114	4617000	0
1952	72551	4044	303000	0
2330	51188	4939	543712000	6
2437	17807	5229	9675000	0
2437	64050	5224	3112119000	36
2437	73226	5234	3509000	0
2437	73226	5191	300377000	3
2462	54441	2655	22000	0
2462	54441	5263	297000	0
2462	54441	5270	7000	0
2487	14030	5435	13080000	0
2487	14030	5436	22615000	0
2487	26642	5356	79222000	0
2487	26642	5359	29675000	0
2487	29455	182	21690000	0
2487	29455	5404	60536000	0
2487	29455	5363	441655000	5
2487	43070	5388	686000	0
2498	19320	4042	69038000	0
2831	10289	6348	5937982000	68
2831	12417	6382	9176075000	106
2831	29415	6331	4583942000	53
2831	74225	6360	634342000	7
2831	74225	6303	1135048000	13
2911	19320	6538	165544000	1
2934	11274	3446	106197000	1
2961	9985	6771	78181000	0
3122	76885	7150	23500000	0
3122	76885	7143	7590000	0
3203	8095	7255	36635000	0
3203	9411	7296	7000	0
3203	9411	7278	12008000	0
