userID	bookmarkID	tagID	timestamp
8	19	1	1289231262000
8	35	1	1289182931000
8	42	43	1289152872000
8	45	46	1289086944000
8	59	56	1288882469000
8	61	1	1288882374000
8	68	45	1288630690000
8	94	2	1288371166000
57	138	150	1289031413000
57	156	159	1288937669000
57	167	162	1288877686000
57	182	156	1288795575000
57	189	97	1288719497000
147	212	78	1289310758000
147	215	76	1289306875000
147	230	186	1289135812000
147	235	179	1289012763000
147	236	36	1289009522000
147	246	36	1288858014000
147	256	68	1288857201000
147	257	36	1288857156000
147	262	36	1288616014000
147	263	36	1288615915000
147	266	140	1288614887000
147	274	22	1288340522000
147	281	36	1288281669000
147	291	174	1288180839000
233	303	430	1289233531000
233	304	169	1288698405000
233	318	431	1286556929000
233	334	339	1284850127000
233	337	179	1284725695000
233	349	122	1278334004000
233	358	199	1275052832000
233	363	78	1272553895000
233	378	119	1268239747000
233	382	435	1267549014000
233	389	179	1265382045000
233	390	199	1264096694000
233	395	530	1264094907000
259	512	4	1288498615000
259	535	460	1287456525000
259	553	183	1286941316000
259	555	207	1286940967000
259	564	431	1286552152000
259	566	145	1286415684000
259	571	78	1286313188000
259	573	143	1286219115000
259	589	143	1285982595000
302	607	206	1288840898000
302	608	434	1287562667000
302	610	221	1287456033000
302	611	4	1287052331000
302	612	199	1287052305000
302	613	4	1286928359000
302	616	447	1286349300000
302	618	186	1286348169000
302	619	156	1286204222000
302	621	199	1285583371000
302	622	455	1285298947000
302	627	122	1283904586000
302	628	190	1283904577000
302	633	132	1283336795000
302	635	122	1283162318000
302	640	457	1282038064000
302	649	533	1281243848000
302	667	447	1279522388000
319	709	1145	1289130665000
319	731	1144	1287765507000
319	741	1144	1287062142000
319	742	1144	1287061756000
319	788	940	1285336153000
336	806	203	1287986648000
336	807	52	1287554620000
336	841	221	1274441953000
336	900	272	1267344812000
427	1087	1462	1286472797000
485	649	221	1281442693000
485	1110	4	1289054593000
485	1113	400	1288832063000
485	1141	221	1282846658000
485	1192	16	1277731522000
521	358	122	1289210486000
521	1253	122	1287639480000
521	1261	178	1287560659000
521	1263	122	1287555337000
521	1271	122	1287382396000
521	1281	486	1287061079000
521	1293	1668	1286943830000
538	612	147	1287132253000
538	1303	119	1288950152000
538	1341	119	1287554261000
538	1372	119	1287140657000
538	1376	119	1287139143000
620	1399	1750	1288600022000
620	1400	310	1287967123000
620	1406	147	1287525930000
620	1410	68	1287525468000
620	1416	1750	1286809960000
620	1420	68	1286615030000
788	1483	242	1287713307000
788	1493	393	1287420103000
788	1494	156	1287419826000
788	1498	255	1287167585000
788	1499	1864	1287107995000
788	1501	1867	1286894214000
788	1516	278	1285604444000
788	1526	122	1285332261000
788	1553	78	1284034308000
788	1554	242	1283987924000
819	1570	1964	1287549702000
819	1588	1952	1286502896000
819	1631	334	1283947270000
913	1674	336	1288087034000
913	1692	365	1286627725000
913	1712	97	1285759993000
913	1714	68	1285742987000
